pattern,horizon_days,period,observations,mean_return,median_return,win_rate,p10,p90,net_mean_vs_hurdle
range_expansion_reversal,20,validation,1084,0.005179189241656321,0.0,0.496309963099631,-0.12339037562873328,0.13636366738798772,-0.005043126547817363
momentum_60_uptrend,40,discovery,149106,0.011758897981090312,-0.015463963770208755,0.43178007591914475,-0.1983471090664476,0.2119609464373423,0.0015365821916166287
momentum_60_uptrend,40,validation,54790,0.011518322501368238,-0.00980391240220746,0.45219930644278156,-0.17322837158606175,0.19643791869891009,0.0012960067118945543
slow_momentum_12_1,40,discovery,156800,0.012491784600555623,-0.009174302896359121,0.44607142857142856,-0.1843575106098389,0.19806969789255438,0.0022694688110819396
slow_momentum_12_1,40,validation,63887,0.014048486101435291,-0.006250043461718424,0.45917009720287383,-0.1495327274605047,0.18181811854640198,0.003826170311961608
pullback_in_uptrend,40,discovery,24443,0.005935566886017397,-0.01818132164041375,0.4251114838604099,-0.20000014492051219,0.21072577675043822,-0.004286748903456286
pullback_in_uptrend,40,validation,8243,0.00011264061775880354,-0.01960782480441492,0.4204779813174815,-0.1927643195706986,0.18377517235928476,-0.01010967517171488
reversal_bottom10,40,discovery,13561,-9.809211286188243e-05,-0.028571402621105912,0.4060172553646486,-0.25572514013007086,0.24603179709140677,-0.010320407902335566
reversal_bottom10,40,validation,5419,-0.004543690299672249,-0.022388126755056525,0.41206864735190996,-0.20248984318150293,0.16884871680483968,-0.014766006089145932
panic_reversal_volume,40,discovery,1588,-0.013524926403020571,-0.05970297294987753,0.36712846347607053,-0.3437916193137736,0.2822055388014227,-0.023747242192494255
panic_reversal_volume,40,validation,494,0.001880916655307094,-0.005265475228375449,0.46356275303643724,-0.21097914869397752,0.1828565229578645,-0.00834139913416659
relative_reversal_bottom20,40,discovery,21515,0.007610946693938893,-0.021126204540600102,0.41821984661863815,-0.22023424118860563,0.22202108322033504,-0.0026113690955347907
relative_reversal_bottom20,40,validation,7550,-0.003449108884053125,-0.023065817390961474,0.4111258278145695,-0.20774156176167397,0.1902671821819121,-0.013671424673526809
breakout_plus_volume,40,discovery,19553,0.0037202807426612644,-0.024844696582373316,0.40924666291617656,-0.2166666997803569,0.2187097821137548,-0.006502035046812419
breakout_plus_volume,40,validation,6614,0.01337407268878675,-0.014598526172921567,0.4463259752041125,-0.17884564702856662,0.22478012295268016,0.003151756899313067
volatility_contraction_breakout,40,discovery,4401,0.004182176359427546,-0.021621665160441172,0.41763235628266304,-0.19819822141890198,0.20979026750315466,-0.0060401394300461375
volatility_contraction_breakout,40,validation,1369,0.003259779326481988,-0.022522500753112573,0.40686632578524473,-0.17264067760476404,0.20031007723283636,-0.006962536462991695
relative_strength_20,40,discovery,72701,0.010117964487310248,-0.01923075159625831,0.42703676703209037,-0.23039211675965765,0.235294340654417,-0.00010435130216343569
relative_strength_20,40,validation,26126,0.011487927261257224,-0.01476922227752897,0.4430452422873766,-0.1887171484390444,0.22250319365338245,0.0012656114717835409
range_expansion_reversal,40,discovery,2867,-0.0010999213180113336,-0.021613846416524085,0.4363446110917335,-0.27735430007247386,0.25393085590552616,-0.011322237107485016
range_expansion_reversal,40,validation,1080,-0.0036914085067498233,-0.01589472178276874,0.4287037037037037,-0.18644065998710713,0.1800669585972581,-0.013913724296223506
