pattern,observations,mean_return,net_mean,win_rate,horizon_days,period
momentum_40_10_ma100,32873,0.009851260038288354,-0.00037105575118532956,0.4617771423356554,20,holdout
momentum_40_10_ma100,71311,0.02344832383070976,0.013226008041236078,0.4322615024330047,40,development
momentum_40_10_ma100,24306,-0.001645463845200052,-0.011867779634673736,0.4230231218629145,40,selection
momentum_40_10_ma100,32761,0.011707543872194809,0.001485228082721125,0.4407374622264278,40,holdout
momentum_40_10_ma200,62003,0.002899739041908793,-0.007322576747564891,0.42236665967775755,5,development
momentum_40_10_ma200,21543,0.0015792183440671793,-0.008643097445406504,0.4457596435036903,5,selection
momentum_40_10_ma200,30152,0.003057094911106575,-0.007165220878367108,0.45923985141947465,5,holdout
momentum_40_10_ma200,61994,0.007124373003720852,-0.003097942785752832,0.4318805045649579,10,development
momentum_40_10_ma200,21543,0.0019279405521020494,-0.008294375237371634,0.44682727568119573,10,selection
momentum_40_10_ma200,30158,0.005938450892845539,-0.004283864896628144,0.4716493136149612,10,holdout
momentum_40_10_ma200,61996,0.014712975689476491,0.004490659900002808,0.4387863733144074,20,development
momentum_40_10_ma200,21543,0.0016503808231166704,-0.008571934966357013,0.4451561992294481,20,selection
momentum_40_10_ma200,30150,0.01066924919184905,0.0004469334023753657,0.4652072968490879,20,holdout
momentum_40_10_ma200,62005,0.030015097520438724,0.01979278173096504,0.44320619304894765,40,development
momentum_40_10_ma200,21543,0.003487590621499731,-0.006734725167973953,0.43949310680963655,40,selection
momentum_40_10_ma200,30049,0.012654753943870037,0.0024324381543963536,0.44191154447735365,40,holdout
momentum_60_0_ma100,136300,0.001729762300312706,-0.008492553489160977,0.4267204695524578,5,development
momentum_60_0_ma100,51640,0.00038914853431259083,-0.009833167255161092,0.4405112316034082,5,selection
momentum_60_0_ma100,70540,0.0022842780415335065,-0.007938037747940177,0.4576835837822512,5,holdout
momentum_60_0_ma100,136282,0.004216283228657778,-0.0060060325608159056,0.43604437856796935,10,development
momentum_60_0_ma100,51640,0.0005978902508133591,-0.009624425538660324,0.44107281177381874,10,selection
momentum_60_0_ma100,70546,0.004209951587252317,-0.0060123642022213665,0.4662914977461515,10,holdout
momentum_60_0_ma100,136289,0.0078019399429178436,-0.00242037584655584,0.43685844051977785,20,development
momentum_60_0_ma100,51640,0.0008646290324192419,-0.009357686757054442,0.4380518977536793,20,selection
momentum_60_0_ma100,70535,0.008578342288023701,-0.0016439735014499822,0.4650598993407528,20,holdout
momentum_60_0_ma100,136304,0.013700445908077525,0.0034781301186038414,0.4325331611691513,40,development
momentum_60_0_ma100,51640,0.00152764794280993,-0.008694667846663753,0.4423896204492641,40,selection
momentum_60_0_ma100,70330,0.011773978136086544,0.0015516623466128605,0.4557372387316935,40,holdout
momentum_60_0_ma200,117905,0.0024468681906686398,-0.007775447598805043,0.430533056274119,5,development
momentum_60_0_ma200,45954,0.0012621655338799218,-0.008960150255593761,0.44775209992601295,5,selection
momentum_60_0_ma200,65139,0.0025878164762383406,-0.007634499313235343,0.4620734122415143,5,holdout
momentum_60_0_ma200,117891,0.0057800660599434525,-0.004442249729530231,0.44223053498570714,10,development
momentum_60_0_ma200,45954,0.0020579219740764422,-0.008164393815397242,0.45099447273360316,10,selection
momentum_60_0_ma200,65148,0.004775909891213367,-0.0054464058982603165,0.47258549763615154,10,holdout
momentum_60_0_ma200,117884,0.011021248797920203,0.0007989330084465195,0.44548878558583016,20,development
momentum_60_0_ma200,45954,0.003139853705018484,-0.007082462084455199,0.44899247073160115,20,selection
momentum_60_0_ma200,65126,0.0093202072088651,-0.0009021085806085842,0.47122500998065286,20,holdout
momentum_60_0_ma200,117900,0.02101286570866211,0.010790549919188427,0.444342663273961,40,development
momentum_60_0_ma200,45954,0.005205639533742092,-0.005016676255731592,0.4530399965182574,40,selection
momentum_60_0_ma200,64929,0.013280419860332618,0.003058104070858934,0.4609342512590676,40,holdout
momentum_60_3_ma100,120994,0.001803208905693278,-0.008419106883780406,0.4257731788353141,5,development
momentum_60_3_ma100,44865,0.0003267052148692357,-0.009895610574604448,0.4383372339239942,5,selection
momentum_60_3_ma100,61644,0.002297546131087749,-0.007924769658385934,0.45876322107585493,5,holdout
momentum_60_3_ma100,120979,0.004479860368471901,-0.0057424554210017825,0.43586076922441086,10,development
momentum_60_3_ma100,44865,0.0005881218334737017,-0.009634193955999982,0.43911735205616853,10,selection
momentum_60_3_ma100,61653,0.0041781515093979385,-0.006044164280075745,0.4658005287658346,10,holdout
momentum_60_3_ma100,120988,0.008562728458327404,-0.0016595873311462794,0.43646477336595363,20,development
